,RobotKnowledge,Representation,InternalRepresentation,MapRepresentation,Localization,RobotPosition,OdomBasedPosition,ImuBasedPosition,RobotSpeed,OdomBasedSpeed,ImuBasedSpeed,ComputationalCapability,CollisionCheck,Movement,TranslationalMovement,Navigation,CollisionFreeNavigation,EnvironmentExploration,DirectionalMvt,TeleoperatedDM,AutonomousDM,BodyPartMovement,JointMvt,LimbMvt,LegMvt,HandMvt,GripperMvt,ArmMvt,BaseMotion,HeadMotion,Manipulation,ObjectManipulation,Sensing,Battery,ARTagCounting,Vision,MagneticField,Light,Temp,Depth,GPS,Humidity,Time,Perception,Recognition,ObjectRecognition,FaceRecognition,VisualSLAM
Attaching,X,X,X,X,X,,,,,,,,,X,X,X,,,X,,,X,X,,,,,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Being_in_category,X,X,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,,X,,,,,,X,,,,,,,,X,X,X,,
Being_located,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Person:Place,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,,,X,,,,X,,,X,,,,X,,,,X,X,X,,
Bringing:Object:Place,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,,X,X,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Change_operational_state,X,X,X,,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,,X,,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Closure,X,X,X,,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,,X,,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Entering,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,,,X,,,,X,,,X,,,,X,,,,X,X,X,,
Following,X,X,X,,,,,,,,,X,X,X,X,,,,X,,,X,,,,,,,X,,,,X,,,X,,,,X,,,,X,,,,
Giving,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,X,,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Inspecting,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,,,X,X,,,X,,,X,,,,X,,,,X,X,X,,
Motion,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,,,X,,,,X,,,X,,,,X,,,,X,X,X,,
Perception_active,X,X,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,,X,,,X,,,X,,,,,,,,X,,,,
Placing,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,X,X,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Releasing,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,X,X,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
Searching,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,,,,X,,,,X,,,X,,,,X,,,,X,X,X,,
Taking,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,X,,,,X,X,X,X,,X,X,X,,,X,,,,X,,,,X,X,X,,
